Data,Valor,Identificador,Descrição
20/12/2019,200.00,5dfc61bd-819b-4388-acc7-6ea8378535f6,Depósito Recebido por Boleto
23/12/2019,-8.00,5e011e52-30dc-4e06-87fa-e2c2a453ef7e,Compra no débito - Acai Silva
24/12/2019,-28.00,5e023e54-2957-4d16-8b4c-ac728b98a498,Compra no débito - Ocileia Moreira Veiga
24/12/2019,-5.99,5e029286-dca8-444c-bc1c-17f052f307fc,Compra no débito - Barateiro Supermercado
25/12/2019,-16.99,5e03f8ef-53cb-4e20-9529-9f7d7a17db9c,Compra no débito - Ultra Popular Pvh01
25/12/2019,-8.00,5e0409c0-592e-42c3-a586-bbc1b57ef226,Compra no débito - Pag*Airtonmayerjunior
29/12/2019,-20.15,5e091453-1910-4226-bb57-71fd29d2c4d2,Compra no débito - Irmaos Goncalves - F05
30/12/2019,-19.95,5e0a33f6-4eca-452a-b32d-289fe9c50d24,Compra no débito - Fcia Pague Menos
30/12/2019,-18.59,5e0a41d7-c648-4c65-9a85-3012d25138d5,Compra no débito - Agua Na Boca
31/12/2019,-55.90,5e0baa22-1e99-440d-9cfe-ff52bcf36768,Compra no débito - Irmaos Goncalves - F05
31/12/2019,-14.00,5e0bad41-04ca-4731-bd67-37f2746a8aba,Compra no débito - D Ajuda Salgados
